values
1 2 0.01938 0.05917 0.0528 9900 0 0 0 0 1;
1 5 0.05403 0.22304 0.0492 9900 0 0 0 0 1;
2 3 0.04699 0.19797 0.0438 9900 0 0 0 0 1;
2 4 0.05811 0.17632 0.034 9900 0 0 0 0 1;
2 5 0.05695 0.17388 0.0346 9900 0 0 0 0 1;
3 4 0.06701 0.17103 0.0128 9900 0 0 0 0 1;
4 5 0.01335 0.04211 0 9900 0 0 0 0 1;
4 7 0 0.20912 0 9900 0 0 0.978 0 1;
4 9 0 0.55618 0 9900 0 0 0.969 0 1;
5 6 0 0.25202 0 9900 0 0 0.932 0 1;
6 11 0.09498 0.1989 0 9900 0 0 0 0 1;
6 12 0.12291 0.25581 0 9900 0 0 0 0 1;
6 13 0.06615 0.13027 0 9900 0 0 0 0 1;
7 8 0 0.17615 0 9900 0 0 0 0 1;
7 9 0 0.11001 0 9900 0 0 0 0 1;
9 10 0.03181 0.0845 0 9900 0 0 0 0 1;
9 14 0.12711 0.27038 0 9900 0 0 0 0 1;
10 11 0.08205 0.19207 0 9900 0 0 0 0 1;
12 13 0.22092 0.19988 0 9900 0 0 0 0 1;
13 14 0.17093 0.34802 0 9900 0 0 0 0 1;
